id1,text1,entity1,id2,text2,entity2,text_similarity_score,entity_similarity_score,date_difference
nifty_214,REG - Turner Funds Plc - Issue of Prospectus etc,turner funds plc|issue|prospectus|turner|funds|plc,nifty_237,REG - Turner Funds Plc - Various Changes to the Sub-Funds of the Company,turner funds plc|various changes|the sub|funds|the company|turner|plc,0.8095322,0.4444444444444444,42
nifty_376,REG - IngeniousMediaActiveLloyds Banking Group - Holding(s) in Company,- ingeniousmediaactivelloyds banking group|holding(s|company|ingeniousmediaactivelloyds|banking|group,nifty_470,REG - Picton Prop Inc LtdLloyds Banking Group - Holding(s) in Company,picton prop inc ltdlloyds banking group|holding(s|company|picton|prop|inc|ltdlloyds|banking|group,0.8095195,0.36363636363636365,176
nifty_318,REG - Lloyds TSB Bank PLC - Publication of Prospectus,lloyds tsb bank plc|- publication|prospectus|lloyds|tsb|bank|plc,nifty_353,REG - HSBC Bank plc - Publication of Prospectus,hsbc bank plc|prospectus|hsbc|bank|plc,0.809402,0.3333333333333333,63
nifty_318,REG - Lloyds TSB Bank PLC - Publication of Prospectus,lloyds tsb bank plc|- publication|prospectus|lloyds|tsb|bank|plc,nifty_456,REG - HSBC Bank plc - Publication of Prospectus,hsbc bank plc|prospectus|hsbc|bank|plc,0.8094019,0.3333333333333333,257
nifty_165,REG - FTSE - Blackrock Commodities Income Investment Trust PLC,reg - ftse|blackrock commodities income investment trust plc|ftse|blackrock|commodities|income|investment|trust|plc,nifty_276,REG - FTSE - Edinbugh New Income Trust PLC,reg - ftse|edinbugh new income trust plc|ftse|edinbugh|new|income|trust|plc,0.80939865,0.4166666666666667,204
nifty_195,REG - Indian Energy LtdLloyds Banking Group - Holding(s) in Company,indian energy ltdlloyds banking group|holding(s|company|indian|energy|ltdlloyds|banking|group,nifty_219,REG - Smiths Group PLCLloyds Banking Group - Holding(s) in Company,reg - smiths group plclloyds banking group|holding(s|company|smiths|group|plclloyds|banking,0.8093956,0.36363636363636365,43
nifty_195,REG - Indian Energy LtdLloyds Banking Group - Holding(s) in Company,indian energy ltdlloyds banking group|holding(s|company|indian|energy|ltdlloyds|banking|group,nifty_399,REG - Smiths Group PLCLloyds Banking Group - Holding(s) in Company,reg - smiths group plclloyds banking group|holding(s|company|smiths|group|plclloyds|banking,0.8093956,0.36363636363636365,376
nifty_170,REG - Arden Partners plcLloyds Banking Group - Holding(s) in Company,arden partners plclloyds banking group|company|arden|partners|plclloyds|banking|group|holding(s,nifty_234,REG - Michael Page IntlLloyds Banking Group - Holding(s) in Company,michael page intllloyds banking group|holding(s|company|michael|page|intllloyds|banking|group,0.80927694,0.3333333333333333,120
nifty_288,REG - Westpac Sec NZ Ltd - Publication of Final Terms,westpac sec nz ltd|- publication|final terms|westpac|sec|nz|ltd,nifty_485,REG - Westpac Banking. - Publication of Final Terms,westpac banking|- publication|final terms|westpac|banking,0.8092698,0.3333333333333333,363
nifty_288,REG - Westpac Sec NZ Ltd - Publication of Final Terms,westpac sec nz ltd|- publication|final terms|westpac|sec|nz|ltd,nifty_427,REG - Westpac Banking. - Publication of Final Terms,westpac banking|- publication|final terms|westpac|banking,0.80926967,0.3333333333333333,258
nifty_288,REG - Westpac Sec NZ Ltd - Publication of Final Terms,westpac sec nz ltd|- publication|final terms|westpac|sec|nz|ltd,nifty_529,REG - Westpac Banking. - Publication of Final Terms,westpac banking|- publication|final terms|westpac|banking,0.8092696,0.3333333333333333,446
nifty_288,REG - Westpac Sec NZ Ltd - Publication of Final Terms,westpac sec nz ltd|- publication|final terms|westpac|sec|nz|ltd,nifty_534,REG - Westpac Banking. - Publication of Final Terms,westpac banking|- publication|final terms|westpac|banking,0.8092696,0.3333333333333333,454
nifty_288,REG - Westpac Sec NZ Ltd - Publication of Final Terms,westpac sec nz ltd|- publication|final terms|westpac|sec|nz|ltd,nifty_502,REG - Westpac Banking. - Publication of Final Terms,westpac banking|- publication|final terms|westpac|banking,0.80926955,0.3333333333333333,397
nifty_276,REG - Westpac Banking. - Publication of Final Terms,westpac banking|- publication|final terms|westpac|banking,nifty_288,REG - Westpac Sec NZ Ltd - Publication of Final Terms,westpac sec nz ltd|- publication|final terms|westpac|sec|nz|ltd,0.8092695,0.3333333333333333,22
nifty_288,REG - Westpac Sec NZ Ltd - Publication of Final Terms,westpac sec nz ltd|- publication|final terms|westpac|sec|nz|ltd,nifty_420,REG - Westpac Banking. - Publication of Final Terms,westpac banking|- publication|final terms|westpac|banking,0.8092695,0.3333333333333333,244
nifty_237,REG - Aviva PLC - Holding(s) in Company,- aviva plc|holding(s|company|aviva|plc,nifty_333,REG - Investec PLC - Holding(s) in Company,reg - investec plc|- holding(s|company|investec|plc,0.80924886,0.25,175
nifty_237,REG - Aviva PLC - Holding(s) in Company,- aviva plc|holding(s|company|aviva|plc,nifty_343,REG - Investec PLC - Holding(s) in Company,reg - investec plc|- holding(s|company|investec|plc,0.80924886,0.25,194
nifty_335,REG - British Assets Trust - Month End Portfolio Info,british assets trust|month end portfolio info|british|assets|trust|info,nifty_376,REG - British Assets Trust - Annual Financial Report,british assets trust|annual financial report|british|assets|trust|annual|financial|report,0.8092175,0.4,71
nifty_252,REG - British Assets Trust - Month End Portfolio Info,british assets trust|month end portfolio info|british|assets|trust|info,nifty_376,REG - British Assets Trust - Annual Financial Report,british assets trust|annual financial report|british|assets|trust|annual|financial|report,0.80921745,0.4,224
nifty_103,REG - British Assets Trust - Month End Portfolio Info,british assets trust|month end portfolio info|british|assets|trust|info,nifty_376,REG - British Assets Trust - Annual Financial Report,british assets trust|annual financial report|british|assets|trust|annual|financial|report,0.8092174,0.4,496
nifty_376,REG - British Assets Trust - Annual Financial Report,british assets trust|annual financial report|british|assets|trust|annual|financial|report,nifty_486,REG - British Assets Trust - Month End Portfolio Info,british assets trust|month end portfolio info|british|assets|trust|info,0.80921733,0.4,205
nifty_170,REG - Mouchel Grp plcLloyds Banking Group - Holding(s) in Company,mouchel grp plclloyds banking group|company|mouchel|grp|plclloyds|banking|group|holding(s,nifty_185,REG - Reed Elsevier PLCLloyds Banking Group - Holding(s) in Company,reg - reed elsevier plclloyds banking group|holding(s|company|reed|elsevier|plclloyds|banking|group,0.8091728,0.45454545454545453,29
nifty_170,REG - Mouchel Grp plcLloyds Banking Group - Holding(s) in Company,mouchel grp plclloyds banking group|company|mouchel|grp|plclloyds|banking|group|holding(s,nifty_381,REG - Reed Elsevier PLCLloyds Banking Group - Holding(s) in Company,reg - reed elsevier plclloyds banking group|holding(s|company|reed|elsevier|plclloyds|banking|group,0.8091727,0.45454545454545453,390
nifty_170,REG - Mouchel Grp plcLloyds Banking Group - Holding(s) in Company,mouchel grp plclloyds banking group|company|mouchel|grp|plclloyds|banking|group|holding(s,nifty_534,REG - Reed Elsevier PLCLloyds Banking Group - Holding(s) in Company,reg - reed elsevier plclloyds banking group|holding(s|company|reed|elsevier|plclloyds|banking|group,0.8091727,0.45454545454545453,672
nifty_166,REG - Transpower NZ Ltd - Publication of Prospectus,reg - transpower nz ltd - publication|prospectus|transpower|nz|ltd,nifty_276,REG - Australia & NZ Bank. - Publication of Prospectus,australia|nz bank|- publication|prospectus|nz|bank,0.80907553,0.2222222222222222,203
nifty_259,REG - NAM Investment Fund - Annual Report 31.12.2010,reg - nam investment fund|annual report|nam|investment|fund|annual|report,nifty_521,REG - NAM Umbrella Fund - Interim Report 30.06.2012,reg - nam umbrella fund - interim report|nam|umbrella|fund|interim|report,0.8090487,0.3,482
nifty_381,REG - Lloyds TSB Bank PLC - Publication of Supplementary Prospectus,lloyds tsb bank plc|- publication|supplementary prospectus|lloyds|tsb|bank|plc,nifty_420,REG - ASB Finance LimitedASB Bank LimitedCommonwealth Bnk Aus - Publication of Supplementary Prospectus,asb finance limitedasb bank limitedcommonwealth bnk aus|- publication|supplementary prospectus|asb|finance|limitedasb|bank|limitedcommonwealth|bnk|aus,0.8089779,0.21428571428571427,72
