distribution,bin_size,log_loss,auc,aic,bic,params,log_loss_rank,auc_rank,aic_rank,bic_rank,avg_rank
Weibull,40,0.0710081061836478,0.7051528384279476,4.142016212367295,17.280068892479804,"[2.3136468027785773, 0.08376461467309103]",168.0,659.0,229.0,262.0,329.5
Burr_XII,194,0.07614415474117701,0.8253546099290779,4.152288309482354,17.565930956267614,"[0.04406725223441187, 4.5347551400290795]",231.0,273.0,275.0,539.0,329.5
Burr_XII,40,0.0710252948441474,0.7051528384279476,4.142050589688295,17.280103269800804,"[0.13064076614616604, 3.2910612444529863]",170.0,659.0,230.0,263.0,330.5
Gamma,47,0.07588524578099044,0.748356807511737,4.151770491561981,17.31960413848027,"[0.00018507869391969195, 0.010286066092494703]",228.0,496.0,273.0,327.0,331.0
Burr_III,197,0.08422230525406564,0.8483774710928758,4.168444610508131,17.579438250283612,"[0.15334892237751976, 0.0674474079157809]",278.0,189.0,310.0,548.0,331.25
Gamma,40,0.0710293377300298,0.7051528384279476,4.14205867546006,17.28011135557257,"[0.00021671931900965385, 0.011172103549371896]",171.0,659.0,231.0,264.0,331.25
Burr_III,188,0.09517695017803082,0.9233425414364641,4.190353900356062,17.60796349059063,"[0.15325201557740067, 0.0666496725719985]",352.0,45.0,362.0,567.0,331.5
Weibull,47,0.0760929122087236,0.748356807511737,4.152185824417447,17.320019471335737,"[2.4060136831525805, 0.07766884851311204]",229.0,496.0,274.0,328.0,331.75
Logistic,40,0.07103369298687137,0.7051528384279476,4.142067385973743,17.28012006608625,"[0.0004681578432313503, 0.2771410929381643]",172.0,659.0,232.0,265.0,332.0
Gamma,38,0.06136360464005879,0.6316117472929812,4.122727209280118,17.253931870527968,"[0.00025826501179281833, 0.012253230618025086]",80.0,861.0,166.0,222.0,332.25
Burr_XII,188,0.09568574095091516,0.9233425414364641,4.191371481901831,17.608981072136398,"[0.04413869664158198, 4.55479955348008]",353.0,45.0,363.0,568.0,332.25
Burr_XII,197,0.08449953781872559,0.8483774710928758,4.168999075637451,17.57999271541293,"[0.04423709406448461, 4.5385266632226715]",280.0,189.0,311.0,549.0,332.25
Burr_III,40,0.07104489612790399,0.7051528384279476,4.142089792255808,17.28014247236832,"[0.31181229318861187, 0.15556420883122749]",174.0,659.0,234.0,266.0,333.25
LogNormal,4,0.07522046045434408,0.7070399462343009,4.1504409209086885,17.24549770333331,"[2.5863590140004233, 7.402719024871842e-13]",225.0,628.0,271.0,209.0,333.25
Weibull,38,0.06140088432269599,0.6316117472929812,4.122801768645392,17.25400642989324,"[2.251812263578663, 0.08769795866263692]",82.0,861.0,167.0,223.0,333.25
Burr_XII,47,0.07614433142137542,0.748356807511737,4.152288662842751,17.32012230976104,"[0.11911796875377974, 3.4394268315233836]",232.0,496.0,276.0,330.0,333.5
LogNormal,178,0.10169127072861965,0.9985835694050991,4.203382541457239,17.62626917960817,"[0.5887578007082774, 1.1432281723710632e-18]",374.0,2.0,376.0,584.0,334.0
Burr_III,146,0.09323870433632697,0.8912363067292645,4.186477408672654,17.582504652840505,"[0.1539585196965063, 0.06711654010029422]",345.0,81.0,358.0,552.0,334.0
Burr_XII,38,0.06142871733682303,0.6316117472929812,4.122857434673646,17.254062095921494,"[0.13698574805599717, 3.20489677238575]",83.0,861.0,168.0,224.0,334.0
Burr_III,47,0.07617531131016732,0.748356807511737,4.152350622620335,17.320184269538625,"[0.29416555377007997, 0.13940673565112702]",233.0,496.0,277.0,331.0,334.25
Burr_XII,146,0.09368621304706419,0.8912363067292645,4.187372426094129,17.58339967026198,"[0.04441103032011456, 4.545581574978356]",346.0,81.0,359.0,553.0,334.75
Burr_III,38,0.06144606590159858,0.6316117472929812,4.122892131803197,17.254096793051048,"[0.3201941503673472, 0.16575412461640707]",84.0,861.0,169.0,225.0,334.75
Logistic,47,0.07619063570751285,0.748356807511737,4.152381271415026,17.320214918333317,"[0.00015486968937659324, 0.25714373064201473]",234.0,496.0,278.0,332.0,335.0
Logistic,38,0.06145348176729054,0.6316117472929812,4.122906963534581,17.254111624782432,"[0.0007088509060966711, 0.2844247431779055]",85.0,861.0,170.0,226.0,335.5
Burr_III,187,0.09593902031627069,0.9104166666666668,4.191878040632542,17.610148023806907,"[0.1534851528766761, 0.06670243648349279]",354.0,67.0,364.0,569.0,338.5
Burr_XII,187,0.09641310820031465,0.9104166666666668,4.192826216400629,17.611096199574995,"[0.044193031084688895, 4.554031045959583]",355.0,67.0,365.0,570.0,339.25
